bn,b,h,t
6,1,1,1
1,2,1,1
0,3,1,1
10,4,1,1
0,5,1,1
0,6,1,1
1,7,1,1
8,8,1,1
1,9,1,1
0,10,1,1
0,11,1,1
0,12,1,1
6,13,1,1
0,14,1,1
1,15,1,1
0,16,1,1
0,17,1,1
0,18,1,1
4,19,1,1
0,20,1,1
1,21,1,1
1,22,1,1
0,23,1,1
0,24,1,1
0,25,1,1
0,26,1,1
0,27,1,1
0,28,1,1
0,29,1,1
0,30,1,1
0,31,1,1
5,1,2,1
3,2,2,1
3,3,2,1
8,4,2,1
0,5,2,1
0,6,2,1
0,7,2,1
11,8,2,1
0,9,2,1
0,10,2,1
0,11,2,1
0,12,2,1
3,13,2,1
0,14,2,1
1,15,2,1
0,16,2,1
0,17,2,1
0,18,2,1
5,19,2,1
0,20,2,1
0,21,2,1
1,22,2,1
0,23,2,1
0,24,2,1
0,25,2,1
0,26,2,1
0,27,2,1
0,28,2,1
0,29,2,1
0,30,2,1
0,31,2,1
9,1,3,1
2,2,3,1
0,3,3,1
9,4,3,1
1,5,3,1
1,6,3,1
0,7,3,1
8,8,3,1
0,9,3,1
0,10,3,1
0,11,3,1
0,12,3,1
3,13,3,1
1,14,3,1
1,15,3,1
0,16,3,1
1,17,3,1
0,18,3,1
3,19,3,1
0,20,3,1
0,21,3,1
0,22,3,1
0,23,3,1
0,24,3,1
1,25,3,1
0,26,3,1
0,27,3,1
0,28,3,1
0,29,3,1
0,30,3,1
0,31,3,1
5,1,4,1
0,2,4,1
1,3,4,1
9,4,4,1
0,5,4,1
0,6,4,1
0,7,4,1
11,8,4,1
0,9,4,1
0,10,4,1
0,11,4,1
0,12,4,1
7,13,4,1
1,14,4,1
1,15,4,1
0,16,4,1
0,17,4,1
0,18,4,1
2,19,4,1
0,20,4,1
0,21,4,1
1,22,4,1
0,23,4,1
1,24,4,1
0,25,4,1
1,26,4,1
0,27,4,1
0,28,4,1
0,29,4,1
0,30,4,1
0,31,4,1
5,1,5,1
0,2,5,1
0,3,5,1
10,4,5,1
0,5,5,1
0,6,5,1
0,7,5,1
12,8,5,1
1,9,5,1
0,10,5,1
0,11,5,1
0,12,5,1
3,13,5,1
0,14,5,1
3,15,5,1
0,16,5,1
0,17,5,1
0,18,5,1
3,19,5,1
0,20,5,1
1,21,5,1
2,22,5,1
0,23,5,1
0,24,5,1
0,25,5,1
0,26,5,1
0,27,5,1
0,28,5,1
0,29,5,1
0,30,5,1
0,31,5,1
8,1,6,1
0,2,6,1
2,3,6,1
7,4,6,1
1,5,6,1
1,6,6,1
1,7,6,1
8,8,6,1
0,9,6,1
0,10,6,1
0,11,6,1
1,12,6,1
6,13,6,1
0,14,6,1
2,15,6,1
0,16,6,1
0,17,6,1
0,18,6,1
2,19,6,1
0,20,6,1
0,21,6,1
1,22,6,1
0,23,6,1
0,24,6,1
0,25,6,1
0,26,6,1
0,27,6,1
0,28,6,1
0,29,6,1
0,30,6,1
0,31,6,1
6,1,7,1
1,2,7,1
0,3,7,1
6,4,7,1
0,5,7,1
0,6,7,1
1,7,7,1
8,8,7,1
0,9,7,1
0,10,7,1
2,11,7,1
0,12,7,1
8,13,7,1
1,14,7,1
2,15,7,1
0,16,7,1
1,17,7,1
0,18,7,1
3,19,7,1
0,20,7,1
0,21,7,1
0,22,7,1
0,23,7,1
0,24,7,1
1,25,7,1
0,26,7,1
0,27,7,1
0,28,7,1
0,29,7,1
0,30,7,1
0,31,7,1
3,1,8,1
0,2,8,1
0,3,8,1
11,4,8,1
1,5,8,1
0,6,8,1
3,7,8,1
12,8,8,1
0,9,8,1
0,10,8,1
0,11,8,1
0,12,8,1
3,13,8,1
1,14,8,1
1,15,8,1
1,16,8,1
0,17,8,1
0,18,8,1
3,19,8,1
0,20,8,1
1,21,8,1
0,22,8,1
0,23,8,1
0,24,8,1
0,25,8,1
0,26,8,1
0,27,8,1
0,28,8,1
0,29,8,1
0,30,8,1
0,31,8,1
5,1,9,1
0,2,9,1
0,3,9,1
12,4,9,1
1,5,9,1
0,6,9,1
0,7,9,1
10,8,9,1
0,9,9,1
0,10,9,1
1,11,9,1
0,12,9,1
2,13,9,1
0,14,9,1
0,15,9,1
0,16,9,1
0,17,9,1
0,18,9,1
8,19,9,1
0,20,9,1
0,21,9,1
0,22,9,1
0,23,9,1
0,24,9,1
0,25,9,1
0,26,9,1
0,27,9,1
0,28,9,1
1,29,9,1
0,30,9,1
0,31,9,1
3,1,10,1
0,2,10,1
2,3,10,1
4,4,10,1
3,5,10,1
0,6,10,1
1,7,10,1
13,8,10,1
1,9,10,1
0,10,10,1
0,11,10,1
0,12,10,1
2,13,10,1
1,14,10,1
2,15,10,1
0,16,10,1
0,17,10,1
0,18,10,1
2,19,10,1
0,20,10,1
1,21,10,1
1,22,10,1
1,23,10,1
1,24,10,1
2,25,10,1
0,26,10,1
0,27,10,1
0,28,10,1
0,29,10,1
0,30,10,1
0,31,10,1
6,1,11,1
0,2,11,1
0,3,11,1
10,4,11,1
1,5,11,1
0,6,11,1
0,7,11,1
9,8,11,1
1,9,11,1
0,10,11,1
0,11,11,1
0,12,11,1
7,13,11,1
0,14,11,1
0,15,11,1
0,16,11,1
0,17,11,1
0,18,11,1
4,19,11,1
0,20,11,1
0,21,11,1
1,22,11,1
0,23,11,1
0,24,11,1
0,25,11,1
0,26,11,1
0,27,11,1
0,28,11,1
1,29,11,1
0,30,11,1
0,31,11,1
4,1,12,1
0,2,12,1
0,3,12,1
3,4,12,1
1,5,12,1
0,6,12,1
0,7,12,1
9,8,12,1
0,9,12,1
0,10,12,1
1,11,12,1
0,12,12,1
7,13,12,1
1,14,12,1
1,15,12,1
0,16,12,1
0,17,12,1
0,18,12,1
7,19,12,1
0,20,12,1
0,21,12,1
2,22,12,1
0,23,12,1
1,24,12,1
3,25,12,1
0,26,12,1
0,27,12,1
0,28,12,1
0,29,12,1
0,30,12,1
0,31,12,1
2,1,13,1
0,2,13,1
1,3,13,1
11,4,13,1
3,5,13,1
0,6,13,1
1,7,13,1
9,8,13,1
0,9,13,1
0,10,13,1
0,11,13,1
0,12,13,1
2,13,13,1
1,14,13,1
1,15,13,1
0,16,13,1
1,17,13,1
0,18,13,1
5,19,13,1
0,20,13,1
0,21,13,1
1,22,13,1
0,23,13,1
0,24,13,1
0,25,13,1
0,26,13,1
0,27,13,1
1,28,13,1
0,29,13,1
1,30,13,1
0,31,13,1
4,1,14,1
0,2,14,1
1,3,14,1
8,4,14,1
2,5,14,1
0,6,14,1
1,7,14,1
12,8,14,1
1,9,14,1
0,10,14,1
0,11,14,1
0,12,14,1
4,13,14,1
0,14,14,1
2,15,14,1
0,16,14,1
0,17,14,1
0,18,14,1
2,19,14,1
0,20,14,1
1,21,14,1
0,22,14,1
1,23,14,1
0,24,14,1
0,25,14,1
0,26,14,1
0,27,14,1
0,28,14,1
1,29,14,1
0,30,14,1
0,31,14,1
8,1,15,1
0,2,15,1
1,3,15,1
9,4,15,1
1,5,15,1
1,6,15,1
1,7,15,1
8,8,15,1
0,9,15,1
0,10,15,1
3,11,15,1
0,12,15,1
2,13,15,1
0,14,15,1
0,15,15,1
0,16,15,1
0,17,15,1
0,18,15,1
4,19,15,1
0,20,15,1
1,21,15,1
0,22,15,1
0,23,15,1
0,24,15,1
1,25,15,1
0,26,15,1
0,27,15,1
0,28,15,1
0,29,15,1
0,30,15,1
0,31,15,1
0,1,16,1
5,2,16,1
7,3,16,1
0,4,16,1
1,5,16,1
0,6,16,1
0,7,16,1
0,8,16,1
0,9,16,1
11,10,16,1
0,11,16,1
0,12,16,1
4,13,16,1
0,14,16,1
0,15,16,1
0,16,16,1
0,17,16,1
0,18,16,1
1,19,16,1
0,20,16,1
0,21,16,1
11,22,16,1
1,23,16,1
0,24,16,1
1,25,16,1
5,26,16,1
0,27,16,1
0,28,16,1
0,29,16,1
0,30,16,1
0,31,16,1
0,1,17,1
2,2,17,1
4,3,17,1
4,4,17,1
1,5,17,1
0,6,17,1
1,7,17,1
0,8,17,1
0,9,17,1
16,10,17,1
1,11,17,1
0,12,17,1
3,13,17,1
0,14,17,1
0,15,17,1
0,16,17,1
1,17,17,1
0,18,17,1
1,19,17,1
0,20,17,1
0,21,17,1
7,22,17,1
0,23,17,1
0,24,17,1
0,25,17,1
6,26,17,1
0,27,17,1
0,28,17,1
0,29,17,1
0,30,17,1
0,31,17,1
1,1,18,1
2,2,18,1
4,3,18,1
4,4,18,1
0,5,18,1
0,6,18,1
2,7,18,1
3,8,18,1
0,9,18,1
14,10,18,1
0,11,18,1
0,12,18,1
2,13,18,1
0,14,18,1
0,15,18,1
0,16,18,1
1,17,18,1
0,18,18,1
1,19,18,1
0,20,18,1
0,21,18,1
10,22,18,1
0,23,18,1
0,24,18,1
0,25,18,1
3,26,18,1
0,27,18,1
0,28,18,1
0,29,18,1
0,30,18,1
0,31,18,1
0,1,19,1
4,2,19,1
11,3,19,1
2,4,19,1
0,5,19,1
1,6,19,1
0,7,19,1
0,8,19,1
0,9,19,1
13,10,19,1
3,11,19,1
0,12,19,1
2,13,19,1
0,14,19,1
0,15,19,1
1,16,19,1
0,17,19,1
0,18,19,1
0,19,19,1
1,20,19,1
0,21,19,1
8,22,19,1
0,23,19,1
0,24,19,1
0,25,19,1
1,26,19,1
0,27,19,1
0,28,19,1
0,29,19,1
0,30,19,1
0,31,19,1
0,1,20,1
1,2,20,1
3,3,20,1
0,4,20,1
0,5,20,1
0,6,20,1
1,7,20,1
0,8,20,1
0,9,20,1
19,10,20,1
4,11,20,1
0,12,20,1
5,13,20,1
0,14,20,1
0,15,20,1
2,16,20,1
0,17,20,1
0,18,20,1
1,19,20,1
0,20,20,1
0,21,20,1
9,22,20,1
1,23,20,1
0,24,20,1
0,25,20,1
1,26,20,1
0,27,20,1
0,28,20,1
0,29,20,1
0,30,20,1
0,31,20,1
0,1,21,1
0,2,21,1
7,3,21,1
2,4,21,1
0,5,21,1
3,6,21,1
0,7,21,1
0,8,21,1
0,9,21,1
11,10,21,1
1,11,21,1
0,12,21,1
7,13,21,1
0,14,21,1
0,15,21,1
1,16,21,1
0,17,21,1
0,18,21,1
1,19,21,1
0,20,21,1
0,21,21,1
10,22,21,1
0,23,21,1
0,24,21,1
0,25,21,1
4,26,21,1
0,27,21,1
0,28,21,1
0,29,21,1
0,30,21,1
0,31,21,1
0,1,22,1
2,2,22,1
5,3,22,1
2,4,22,1
0,5,22,1
1,6,22,1
1,7,22,1
0,8,22,1
0,9,22,1
14,10,22,1
2,11,22,1
0,12,22,1
4,13,22,1
0,14,22,1
1,15,22,1
1,16,22,1
2,17,22,1
0,18,22,1
0,19,22,1
0,20,22,1
0,21,22,1
